M,N,K,BR_STRIDE,LDA,LDB,LDC,TRANS_A,TRANS_B,TIME_S,GFLOPS
1,1,1,16,1,1,1,0,0,0.181244,1.41246
1,1,16,16,1,16,1,0,0,0.802281,2.15747
1,1,32,16,1,32,1,0,0,0.820465,2.17056
1,1,64,16,1,64,1,0,0,0.720361,2.17989
1,1,128,16,1,128,1,0,0,0.723283,2.18508
2,1,1,16,2,1,2,0,0,0.796714,3.86202
2,1,16,16,2,16,2,0,0,0.808892,4.33983
2,1,32,16,2,32,2,0,0,0.723527,4.35473
2,1,64,16,2,64,2,0,0,0.721004,4.36997
2,1,128,16,2,128,2,0,0,0.877903,4.38254
3,1,1,16,3,1,3,0,0,0.860085,5.36619
3,1,16,16,3,16,3,0,0,0.801674,6.47732
3,1,32,16,3,32,3,0,0,0.225174,6.50958
3,1,64,16,3,64,3,0,0,0.719352,6.54885
3,1,128,16,3,128,3,0,0,0.829994,6.55549
4,1,1,16,4,1,4,0,0,0.56787,7.74584
4,1,16,16,4,16,4,0,0,0.790629,8.75707
4,1,32,16,4,32,4,0,0,0.214858,8.81561
4,1,64,16,4,64,4,0,0,0.71504,8.84073
4,1,128,16,4,128,4,0,0,1.01334,8.79864
5,1,1,16,5,1,5,0,0,0.862952,8.91395
5,1,16,16,5,16,5,0,0,0.786064,10.8558
5,1,32,16,5,32,5,0,0,0.714038,10.8908
5,1,64,16,5,64,5,0,0,0.718329,10.9303
5,1,128,16,5,128,5,0,0,1.00445,10.9473
6,1,1,16,6,1,6,0,0,1.00661,11.4215
6,1,16,16,6,16,6,0,0,0.806669,13.0599
6,1,32,16,6,32,6,0,0,0.7211,13.1082
6,1,64,16,6,64,6,0,0,0.813524,13.1345
6,1,128,16,6,128,6,0,0,1.00569,13.1502
7,1,1,16,7,1,7,0,0,0.887801,12.0722
7,1,16,16,7,16,7,0,0,0.753913,12.5366
7,1,32,16,7,32,7,0,0,0.718849,12.3993
7,1,64,16,7,64,7,0,0,0.964517,12.343
7,1,128,16,7,128,7,0,0,1.00595,12.303
8,1,1,16,8,1,8,0,0,0.794439,15.4182
8,1,16,16,8,16,8,0,0,0.973416,17.4094
8,1,32,16,8,32,8,0,0,0.717357,17.456
8,1,64,16,8,64,8,0,0,1.00674,17.5144
8,1,128,16,8,128,8,0,0,1.00337,17.5344
9,1,1,16,9,1,9,0,0,0.732489,15.7272
9,1,16,16,9,16,9,0,0,0.996753,19.4653
9,1,32,16,9,32,9,0,0,0.718798,19.6016
9,1,64,16,9,64,9,0,0,1.00386,19.6712
9,1,128,16,9,128,9,0,0,1.00429,19.7082
10,1,1,16,10,1,10,0,0,0.824147,18.578
10,1,16,16,10,16,10,0,0,0.137726,21.8139
10,1,32,16,10,32,10,0,0,0.716695,21.8434
10,1,64,16,10,64,10,0,0,1.00234,21.8923
10,1,128,16,10,128,10,0,0,1.00603,21.9083
11,1,1,16,11,1,11,0,0,0.645496,18.7394
11,1,16,16,11,16,11,0,0,0.837444,19.4483
11,1,32,16,11,32,11,0,0,0.719984,19.3552
11,1,64,16,11,64,11,0,0,1.00321,19.317
11,1,128,16,11,128,11,0,0,1.00524,19.2772
12,1,1,16,12,1,12,0,0,0.820401,22.3954
12,1,16,16,12,16,12,0,0,0.926111,26.1086
12,1,32,16,12,32,12,0,0,0.721172,26.2137
12,1,64,16,12,64,12,0,0,1.00671,26.2723
