M,N,K,LDA,LDB,LDC,TRANS_A,TRANS_B,TIME_S,GFLOPS
1,1,1,1,1,1,0,0,0.245905,0.390083
1,1,16,1,16,1,0,0,1.22737,1.78576
1,1,32,1,32,1,0,0,1.74946,1.95108
1,1,64,1,64,1,0,0,1.77614,2.03577
1,1,128,1,128,1,0,0,1.40648,2.13008
2,1,1,2,1,2,0,0,0.674829,0.948388
2,1,16,2,16,2,0,0,1.32316,3.86953
2,1,32,2,32,2,0,0,1.36139,4.10575
2,1,64,2,64,2,0,0,1.45326,4.22943
2,1,128,2,128,2,0,0,1.42819,4.30366
3,1,1,3,1,3,0,0,1.04927,1.37789
3,1,16,3,16,3,0,0,1.22327,5.37524
3,1,32,3,32,3,0,0,1.73316,5.9083
3,1,64,3,64,3,0,0,1.73984,6.23475
3,1,128,3,128,3,0,0,1.80618,6.37492
4,1,1,4,1,4,0,0,1.03535,1.8619
4,1,16,4,16,4,0,0,1.59579,7.67572
4,1,32,4,32,4,0,0,1.35344,8.2597
4,1,64,4,64,4,0,0,1.36892,8.54895
4,1,128,4,128,4,0,0,1.41947,8.65501
5,1,1,5,1,5,0,0,1.04319,2.28238
5,1,16,5,16,5,0,0,1.7194,8.94767
5,1,32,5,32,5,0,0,1.40815,9.90192
5,1,64,5,64,5,0,0,1.72984,10.4513
5,1,128,5,128,5,0,0,1.73904,10.706
6,1,1,6,1,6,0,0,0.703769,2.72817
6,1,16,6,16,6,0,0,1.32118,11.6259
6,1,32,6,32,6,0,0,1.35138,12.4085
6,1,64,6,64,6,0,0,1.43716,12.8304
6,1,128,6,128,6,0,0,1.78231,12.9303
7,1,1,7,1,7,0,0,1.08336,3.11392
7,1,16,7,16,7,0,0,1.43362,12.4998
7,1,32,7,32,7,0,0,1.29667,13.8201
7,1,64,7,64,7,0,0,1.40265,14.601
7,1,128,7,128,7,0,0,1.42628,13.4018
8,1,1,8,1,8,0,0,0.703615,3.63836
8,1,16,8,16,8,0,0,1.32109,15.5023
8,1,32,8,32,8,0,0,1.88089,16.349
8,1,64,8,64,8,0,0,1.81553,16.9376
8,1,128,8,128,8,0,0,1.7284,17.235
9,1,1,9,1,9,0,0,2.14866,3.98921
9,1,16,9,16,9,0,0,1.43587,16.046
9,1,32,9,32,9,0,0,1.7267,17.7912
9,1,64,9,64,9,0,0,1.73031,18.8073
9,1,128,9,128,9,0,0,1.44227,19.166
10,1,1,10,1,10,0,0,0.728765,4.39099
10,1,16,10,16,10,0,0,1.33268,19.2094
10,1,32,10,32,10,0,0,1.5006,20.5046
10,1,64,10,64,10,0,0,1.44796,21.2245
